CandidateName,OfficeName,ElectionYear,ElectionYearStr,Party,District,Jurisdiction,FinanceType,Status,Incumbent,IDNumber,TreasurerName,CandidateAddress,RegistrationDate,LastFilingDate,PublicPhoneNumber,PoliticalPartyCommitteeName,CandidateStatus,JurisdictionType,OfficerHolderStatus,ElectionName,NumberofCandidates,OfficeId,ElectionId,DistrictId,ElectionCycleId,OfficeType,JurisdictionId,RegistrationId,FinanceStatus,RowNumber,TotalRows,UnregisteredCandidate,StateID,TotalContributions,TotalExpenditures,MemberID,TerminationDate,CandidateEmail,CommitteeEmail,IsCompliant,CompliantStatus,IsLegacy
"Colón, Brian S",Attorney General,2022,,DEMOCRATIC,,,Candidate,,,-5ar0v1HCNGNF4ddovHErACqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2022 General Election,,10,119.0,,,,,0,,,3,0,,0.0,0.0,0,,,,False,,False
"Gay, Jeremy Michael",Attorney General,2022,,REPUBLICAN,,,Candidate,,,FDO2xEcWoqmZdr-R-joOzQCqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2022 General Election,,10,119.0,,,,,0,,,3,0,,0.0,0.0,0,,,,False,,False
"Torrez, Raul",Attorney General,2021,,DEMOCRATIC,,,Candidate,,,fYGAR1iO77p2-hKm0NiDsACqVy8Elhffgng_L-1Fpe41,,,,,,,,,,2022 General Election,,10,119.0,,,,,0,,,3,0,,0.0,0.0,0,,,,False,,False
"Baca-Miller, Britt M.",District Court Judge,2021,,DEMOCRATIC,SECOND JUDICIAL DISTRICT DIVISION 20,Bernalillo,Candidate,,,JcxlhP9PR1jC27s8yCMMBACqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,1306,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Lara, Robert , Jr.",District Court Judge,2022,,DEMOCRATIC,THIRD JUDICIAL DISTRICT DIVISION 2,Dona Ana,Candidate,,,UQf9mIUyjEeNH23TGq9YPACqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,1308,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"Streeter, Jessica",District Court Judge,2022,,DEMOCRATIC,THIRD JUDICIAL DISTRICT DIVISION 2,Dona Ana,Candidate,,,MRmidvlIpiPArgNs9MhWoACqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,1308,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
"Fitch, Casey Bruce",District Court Judge,2022,,DEMOCRATIC,THIRD JUDICIAL DISTRICT DIVISION 5,Dona Ana,Candidate,,,lB0G3or7q5Uf-uejn3JH-wCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,1312,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Aragon, Michael A.",District Court Judge,2022,,DEMOCRATIC,FOURTH JUDICIAL DISTRICT DIVISION 1,San Miguel,Candidate,,,cXmHLyAOa7DMotjDu3oW5QCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,1338,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Lujan, Elaine P.",District Court Judge,2021,,DEMOCRATIC,SECOND JUDICIAL DISTRICT DIVISION 12,Bernalillo,Candidate,,,EyQO_8gabOubYC3Y1sQuOwCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,1348,,,,0,,,1,0,,0.0,0.0,0,,,,False,,False
"Dickens, James Andrew",District Court Judge,2022,,REPUBLICAN,TWELFTH JUDICIAL DISTRICT DIVISION 2,Otero,Candidate,,,KrQmZtwgxDtz5Nf59qmn0wCqVy8Elhffgng_L-1Fpe41,,,,,,,,DISTRICT JUDGE,,2022 General Election,,1073,119.0,1354,,,,0,,,2,0,,0.0,0.0,0,,,,False,,False
