"BundlingDisclosureLobbyistId","DestinataryName","ReportLobbyistId","DateAdded","TransactionStatusId"
12,"Senator Gerald Ortiz y Pino",162,6/27/2011 0:00:00,2
15,"Committee to Elect Me",142,7/19/2011 9:45:12,2
24,"Rep. Nate Gentry",849,1/5/2012 0:00:00,2
26,"Senator Phil Griego",849,1/5/2012 14:13:29,2
27,"Rep. Andy Nunez",849,1/5/2012 14:16:32,2
28,"Rep. David Doyle",849,1/5/2012 14:18:05,2
29,"Rep. Larry Larranaga",849,1/5/2012 14:20:50,2
30,"Senator Mark Boitano",849,1/5/2012 14:23:38,2
31,"Rep. Tom Taylor",849,1/5/2012 14:25:47,2
32,"Rep. Joseph Cervantes",849,1/5/2012 14:32:22,2
33,"Senator Mary K. Papen",849,1/5/2012 0:00:00,2
34,"Senator George Munoz",849,1/5/2012 14:34:41,2
35,"Senator Bill Payne",849,1/5/2012 0:00:00,2
36,"PAC-22",834,1/7/2012 0:00:00,2
38,"Multiple candidates",762,1/9/2012 0:00:00,2
101,"NM Senate Majority Leadership Fund",1030,1/13/2012 11:50:42,2
102,"Comm to Elect Tom Taylor",1030,1/13/2012 12:05:43,2
103,"Governor Martinez PAC",1030,1/13/2012 13:08:04,2
105,"Susana Martinez for Governor",1018,1/16/2012 0:00:00,2
109,"andy nunez",1198,2/24/2012 8:56:46,1
111,"David Ulibarri",1048,3/1/2012 10:53:27,2
112,"Tom Taylor",1048,3/1/2012 10:55:28,2
113,"Bill Sharer",1048,3/1/2012 10:57:02,2
115,"Debbie Rodella",1048,3/1/2012 0:00:00,2
116,"Henry Saavedra",1048,3/1/2012 11:08:36,2
117,"Bill Payne",1048,3/1/2012 11:09:57,2
118,"John Ryan",1048,3/1/2012 11:10:56,2
119,"Steve Neville",1048,3/1/2012 11:13:35,2
120,"Richard Martinez",1048,3/1/2012 11:15:04,2
121,"Stuart Ingle",1048,3/1/2012 11:16:05,2
122,"Clint Harden",1048,3/1/2012 0:00:00,2
123,"Carlos Cisneros",1048,3/1/2012 11:18:28,2
124,"Vernon Asbill",1048,3/1/2012 0:00:00,2
125,"Rod Adair",1048,3/1/2012 11:21:21,2
126,"Phil Griego",1048,3/1/2012 11:22:30,2
127,"Susana Martinez",1048,3/1/2012 11:23:27,2
129,"Tim Lewis",1048,3/1/2012 12:04:45,2
130,"Michael Sanchez",1048,3/1/2012 0:00:00,2
131,"Stuart Ingle",1048,3/1/2012 12:40:52,2
132,"Bill Sharer",1048,3/1/2012 12:41:54,2
133,"Bill Payne",1048,3/1/2012 12:42:47,2
134,"Steve Neville",1048,3/1/2012 12:43:39,2
135,"Phil Griego",1048,3/1/2012 12:44:43,2
136,"David Ulibarri",1048,3/1/2012 12:45:33,2
137,"Richard Martinez",1048,3/1/2012 12:46:18,2
138,"George Munoz",1048,3/1/2012 12:47:18,2
139,"Susana PAC",1270,4/23/2012 0:00:00,2
140,"John Doe",1271,4/23/2012 8:44:27,1
141,"Jane Doe",1271,4/23/2012 8:47:50,1
142,"Phil Griego Committee",1270,4/23/2012 12:32:49,2
143,"None",1313,4/25/2012 16:59:15,1
144,"Legislature",1367,4/27/2012 11:32:13,2
156,"John Smith Committee",1614,1/8/2013 0:00:00,2
157,"Tom Taylor Committee",1614,1/8/2013 0:00:00,2
158,"Carl Trujillo Committee",1614,1/8/2013 13:56:55,2
159,"Nancy Rodiguez Committee",1614,1/8/2013 0:00:00,2
160,"Phil Griego Committee",1614,1/8/2013 0:00:00,2
162,"Governor Susana Martinez",1600,1/9/2013 0:00:00,2
163,"Paul Pacheco Committee",1614,1/9/2013 0:00:00,2
164,"Tom Taylor Committee",1614,1/9/2013 11:54:26,2
165,"Ken Martinez Committee",1614,1/9/2013 11:56:01,2
166,"Michael Sanchez Committee",1614,1/9/2013 11:57:10,2
167,"Lee Alcon Committee",1614,1/9/2013 0:00:00,2
168,"Lynda Lovejoy Committee",1614,1/9/2013 0:00:00,2
169,"Yvette Herrell  Committee",1614,1/9/2013 0:00:00,2
170,"Larry Larranga Committee",1614,1/9/2013 0:00:00,2
171,"House R Leadership Fund",1614,1/9/2013 0:00:00,2
172,"ReElect Sen. Richard C. Martinez",1702,1/10/2013 10:50:50,2
173,"Rep. Ray Begaye",1793,1/15/2013 0:00:00,2
174,"Sen. Tim Jennings",1793,1/15/2013 13:48:21,2
175,"Rep. Tim Lewis",1793,1/15/2013 13:50:02,2
176,"Rep. Nate Gentry",1793,1/15/2013 13:51:22,2
177,"Rep. Alonzo Baldonado",1793,1/15/2013 13:53:00,2
178,"Rep. Conrad James",1793,1/15/2013 13:54:12,2
179,"Rep. Ed Sandoval",1793,1/15/2013 13:59:13,2
180,"Marci Blaze",1793,1/15/2013 14:00:53,2
181,"Clemente Sanchez",1793,1/15/2013 14:02:32,2
