BundlingDisclosureLobbyistContributorId,BundlingDisclosureLobbyistId,Name,AddressId,Amount,Occupation,ReportLobbyistId
11,12,"Nextra Energy a.k.a. FPL Energy New Mexico WInd, ",82077,$500.00,Energy Occupation,162
22,24,NMHBA-PAF,91348,$250.00,Trade Association,849
23,24,NM NAIOP PAC,91349,$250.00,,849
24,26,NM NAIOP PAC,91350,$300.00,,849
25,26,NMHBA-PAF,91351,$750.00,Trade Association,849
26,27,NMHBA-PAF,91352,$250.00,Trade Association,849
27,28,NM NAIOP PAC,91353,$250.00,,849
28,28,NMHBA-PAF,91354,$250.00,Trade Association,849
29,29,NMHBA-PAF,91355,$250.00,Trade Association,849
30,29,NM NAIOP PAC,91356,$250.00,,849
31,30,NM NAIOP PAC,91357,$250.00,,849
32,30,NMHBA-PAF,91358,$250.00,Trade Association,849
33,31,NM NAIOP PAC,91359,$250.00,,849
34,32,NM NAIOP PAC,91360,$250.00,,849
35,33,NM NAIOP PAC,91361,$250.00,,849
36,34,NM NAIOP PAC,91362,$250.00,,849
37,35,NM NAIOP PAC,91363,$250.00,,849
38,35,NMHBA-PAF,91364,$250.00,Trade Association,849
41,38,Comcast,91473,"$17,300.00",,762
42,38,Bowlin Travel Center,91474,"$6,750.00",Travel Centers,762
43,38,CFSC,91475,"$1,500.00",,762
44,38,Arizona/New Mexico Propane Gas Assoc.,91476,$500.00,,762
45,38,Enterprise Holdings,91477,"$9,800.00",,762
122,101,NDC Political Action Comm.,91596,$300.00,Wholesale Alcohol Beverages,1030
123,101,Southern Wine & Spirits,91597,$300.00,Alcohol Beverage Wholesaler,1030
124,102,Southern Wine & Spirits,91598,$400.00,Alcohol Beverage Wholesaler,1030
125,102,Arizona Public Service Co,91599,$400.00,Electric Utility,1030
126,102,Admiral Beverage,91600,$400.00,Alcohol Beverage Wholesaler,1030
127,103,Admiral Beverage Corp,91601,"$2,500.00",Alcohol Bev Wholesaler,1030
130,105,Zeneca Services,91653,"$1,000.00",Pharmaceutical company,1018
139,111,Reynolds American Inc.,92433,$500.00,Tobacco Manufacturer,1048
140,112,Reynolds American Inc.,92434,$500.00,Tobacco Manufacturer,1048
141,113,Reynolds American Inc.,92435,$500.00,Tobacco Manufacturer,1048
143,115,Reynolds American Inc.,92437,$500.00,Tobacco Manufacturer,1048
144,116,Reynolds American Inc.,92438,$500.00,Tobacco Manufacturer,1048
145,117,Reynolds American Inc.,92439,$500.00,Tobacco Manufacturer,1048
146,118,Reynolds American Inc.,92440,$500.00,Tobacco Manufacturer,1048
147,119,Reynolds American Inc.,92441,$500.00,Tobacco Manufacturer,1048
148,120,Reynolds American Inc.,92442,$500.00,Tobacco Manufacturer,1048
149,121,Reynolds American Inc.,92443,"$1,000.00",Tobacco Manufacturer,1048
150,122,Reynolds American Inc.,92444,$500.00,Tobacco Manufacturer,1048
151,123,Reynolds American Inc.,92445,$500.00,Tobacco Manufacturer,1048
152,124,Reynolds American Inc.,92446,$500.00,Tobacco Manufacturer,1048
153,125,Reynolds American Inc.,92447,$500.00,Tobacco Manufacturer,1048
154,126,Reynolds American Inc.,92448,"$1,000.00",Tobacco Manufacturer,1048
155,127,Reynolds American Inc.,92449,"$2,500.00",Tobacco Manufacturer,1048
157,129,Reynolds American Inc.,92462,$500.00,Tobacco Manufacturer,1048
158,130,TNT Fireworks,92478,$500.00,Fireworks,1048
159,131,TNT Fireworks,92479,$500.00,Fireworks,1048
160,132,TNT Fireworks,92480,$500.00,Fireworks,1048
161,133,TNT Fireworks,92481,$500.00,Fireworks,1048
162,134,TNT Fireworks,92483,$500.00,Fireworks,1048
163,135,TNT Fireworks,92484,$500.00,Fireworks,1048
164,136,TNT Fireworks,92485,$500.00,Fireworks,1048
165,137,TNT Fireworks,92487,$500.00,Fireworks,1048
166,138,TNT Fireworks,92488,$500.00,Fireworks,1048
170,139,Bowlin Travel Center,106796,"$1,000.00",,1270
171,142,Bowlin Travel Center,106799,$250.00,Retail,1270
182,156,Enterprise Holdings,154813,$250.00,,1614
185,157,Enterprise Holdings,154816,$500.00,car rental,1614
186,158,Enterprise Holdings,154817,$200.00,car rental,1614
188,159,Comcast,154819,$250.00,cable communication,1614
191,160,Comcast,154822,$500.00,cable communication,1614
194,162,Heritage Management ,154825,$500.00,Health Care Management Company,1600
195,162,Genesis HealthCare,154826,"$5,000.00",Health Care Corporation,1600
196,163,CFSC,154827,$250.00,finance,1614
197,164,CFSC,154828,"$1,000.00",finance,1614
198,165,CFSC,154829,$500.00,finance,1614
199,166,CFSC,154830,$400.00,finance,1614
200,167,COPART,154833,$250.00,Auto and parts sales,1614
201,168,COPART,154834,$500.00,Auto sales and parts,1614
202,169,Bowlin,154835,$250.00,Retail Sales,1614
203,170,Bowlin,154836,$500.00,retail sales,1614
204,171,Bowlin,154837,"$1,000.00",retail sales,1614
205,173,"K12, Inc.",154849,$500.00,Corporation providing online public and private education opportunities,1793
206,174,"K12, Inc.",154850,$500.00,Online public education opportunities,1793
207,175,"K12, Inc.",154851,$500.00,Online education opportunities,1793
208,176,"K12, Inc.",154852,$700.00,Online education opportunities,1793
209,177,"K12, Inc.",154853,$750.00,Online education opportunities,1793
210,178,"K12, Inc.",154854,$700.00,Online education opportunities,1793
211,176,Fast Bucks,154855,"$1,000.00","Installment loans, auto insurance",1793
212,179,NRG Energy,154856,$500.00,Electric Energy Company,1793
213,180,NRG Energy,154857,$500.00,Electric Energy Company,1793
214,181,NRG Energy,154858,$500.00,Electric Energy Company,1793
