LobbystEmployerId,LobbyistId,OrganizationId,DateAdded,Year
20,21,22,06-Jul-14,2014
21,22,23,06-Jul-14,2014
22,23,24,06-Jul-14,2014
23,26,25,06-Jul-14,2014
24,29,26,06-Jul-14,2014
25,29,27,06-Jul-14,2014
28,29,30,06-Jul-14,2014
29,32,31,06-Jul-14,2014
31,37,33,06-Jul-14,2014
32,39,34,06-Jul-14,2014
33,40,35,06-Jul-14,2014
34,41,36,06-Jul-14,2014
35,41,37,06-Jul-14,2014
36,41,38,06-Jul-14,2014
37,41,39,06-Jul-14,2014
39,41,41,06-Jul-14,2014
40,41,42,06-Jul-14,2014
42,41,44,06-Jul-14,2014
43,41,45,06-Jul-14,2014
44,41,46,06-Jul-14,2014
46,46,48,06-Jul-14,2014
48,56,50,06-Jul-14,2014
49,58,51,06-Jul-14,2014
51,63,53,06-Jul-14,2014
52,65,54,06-Jul-14,2014
54,67,56,06-Jul-14,2014
55,69,57,06-Jul-14,2014
56,70,58,06-Jul-14,2014
58,74,59,06-Jul-14,2014
60,76,61,06-Jul-14,2014
62,79,63,06-Jul-14,2014
63,79,64,06-Jul-14,2014
65,79,66,06-Jul-14,2014
66,83,67,06-Jul-14,2014
67,83,68,06-Jul-14,2014
68,86,69,06-Jul-14,2014
69,88,70,06-Jul-14,2014
70,90,71,06-Jul-14,2014
71,92,72,06-Jul-14,2014
72,92,73,06-Jul-14,2014
77,92,78,06-Jul-14,2014
78,92,79,06-Jul-14,2014
79,92,80,06-Jul-14,2014
80,92,81,06-Jul-14,2014
82,97,83,06-Jul-14,2014
83,98,84,06-Jul-14,2014
84,99,58,06-Jul-14,2014
85,100,85,06-Jul-14,2014
88,102,88,06-Jul-14,2014
94,102,94,06-Jul-14,2014
96,102,96,06-Jul-14,2014
97,103,97,06-Jul-14,2014
98,104,98,06-Jul-14,2014
99,107,99,06-Jul-14,2014
100,109,48,06-Jul-14,2014
101,110,100,06-Jul-14,2014
102,112,101,06-Jul-14,2014
104,116,103,06-Jul-14,2014
106,119,105,06-Jul-14,2014
107,118,106,06-Jul-14,2014
108,124,107,06-Jul-14,2014
109,125,58,06-Jul-14,2014
110,126,58,06-Jul-14,2014
112,131,58,06-Jul-14,2014
113,132,109,06-Jul-14,2014
116,149,110,06-Jul-14,2014
117,150,111,06-Jul-14,2014
118,151,112,06-Jul-14,2014
119,152,113,06-Jul-14,2014
120,153,114,06-Jul-14,2014
122,155,116,06-Jul-14,2014
123,155,117,06-Jul-14,2014
124,155,118,06-Jul-14,2014
125,155,119,06-Jul-14,2014
126,155,120,06-Jul-14,2014
127,155,121,06-Jul-14,2014
128,156,33,06-Jul-14,2014
129,157,58,06-Jul-14,2014
133,158,124,06-Jul-14,2014
134,159,125,06-Jul-14,2014
135,160,126,06-Jul-14,2014
136,162,127,06-Jul-14,2014
137,161,128,06-Jul-14,2014
138,163,129,06-Jul-14,2014
139,163,130,06-Jul-14,2014
140,163,131,06-Jul-14,2014
142,165,133,06-Jul-14,2014
143,166,139,06-Jul-14,2014
144,167,142,06-Jul-14,2014
145,168,143,06-Jul-14,2014
147,169,101,06-Jul-14,2014
148,170,145,06-Jul-14,2014
150,171,146,06-Jul-14,2014
151,171,1069,06-Jul-14,2014
152,172,100,06-Jul-14,2014
153,173,148,06-Jul-14,2014
154,174,149,06-Jul-14,2014
155,175,150,06-Jul-14,2014
156,176,151,06-Jul-14,2014
158,177,152,06-Jul-14,2014
160,179,86,06-Jul-14,2014
161,178,154,06-Jul-14,2014
163,181,148,06-Jul-14,2014
168,183,159,06-Jul-14,2014
169,182,160,06-Jul-14,2014
170,182,161,06-Jul-14,2014
171,184,162,06-Jul-14,2014
174,182,165,06-Jul-14,2014
177,182,168,06-Jul-14,2014
178,182,169,06-Jul-14,2014
179,182,170,06-Jul-14,2014
180,182,171,06-Jul-14,2014
182,185,173,06-Jul-14,2014
183,182,174,06-Jul-14,2014
185,182,176,06-Jul-14,2014
186,182,177,06-Jul-14,2014
187,186,178,06-Jul-14,2014
190,182,182,06-Jul-14,2014
191,187,184,06-Jul-14,2014
192,188,185,06-Jul-14,2014
193,189,186,06-Jul-14,2014
194,190,187,06-Jul-14,2014
196,191,189,06-Jul-14,2014
197,191,190,06-Jul-14,2014
201,191,194,06-Jul-14,2014
203,191,196,06-Jul-14,2014
204,191,197,06-Jul-14,2014
206,191,92,06-Jul-14,2014
207,191,199,06-Jul-14,2014
208,191,200,06-Jul-14,2014
209,192,201,06-Jul-14,2014
210,193,202,06-Jul-14,2014
211,194,203,06-Jul-14,2014
214,196,186,06-Jul-14,2014
215,197,204,06-Jul-14,2014
216,199,205,06-Jul-14,2014
217,198,206,06-Jul-14,2014
218,200,207,06-Jul-14,2014
219,201,50,06-Jul-14,2014
220,202,208,06-Jul-14,2014
221,203,209,06-Jul-14,2014
222,204,210,06-Jul-14,2014
223,204,211,06-Jul-14,2014
224,204,212,06-Jul-14,2014
225,205,213,06-Jul-14,2014
226,205,214,06-Jul-14,2014
227,206,213,06-Jul-14,2014
228,207,215,06-Jul-14,2014
229,206,214,06-Jul-14,2014
230,208,216,06-Jul-14,2014
231,209,217,06-Jul-14,2014
232,210,216,06-Jul-14,2014
233,211,218,06-Jul-14,2014
234,212,201,06-Jul-14,2014
236,214,220,06-Jul-14,2014
