"PoliticalActionCommitteeId","EntityId","Name","Acronym","BusinessPhone","HomePhone","EmailAddress","AddressId","TreasurerId","DateAdded","StatusId","ContactId","DateLastUpdated","BankName","BankPhone","FaxPhone","BankAddressId","InitialBalance","IsInitialbalanceSetByPAC","InitialDebt","IsInitialDebtSetByPac"
26,376,"Marek & Francis, P.A.",,"(505) 885-6615 ",,,1890,111,1/1/2010 0:00:00,2,1520,6/4/2007 14:56:31,"","",,,,,,
27,152,"Arcade,",,"(505) 476-0354",,,1931,141,1/1/2010 0:00:00,2,1550,9/23/2009 8:20:02,"Bank of the West","(505)756-0000",,,,,,
28,248,"Associated Contractors of New Mexico","","(505) 344-2072","","mbeck@aconm.org",1891,112,1/1/2010 0:00:00,1,1521,,"US Bank","505.823.6200","",83217,$0.00,0,,
29,249,"National Distributing Company, Inc. of Albuquerque","","(505) 343-3361","","Nic.Hotard@natdistco.com",1892,113,1/1/2010 0:00:00,1,1522,,"Bank Of America NM 1-101-01-01","(505) 282-2450","",31223,$0.00,0,,
30,377,"Republican party of new mexico",,,,,1893,114,1/1/2010 0:00:00,0,1523,10/24/2008 8:50:23,"","",,,,,,
32,250,"New Mexico Home Builders Political Action Fund",,"505-344-7072","","info@nmhba.org",1894,115,1/1/2010 0:00:00,1,1524,,"USNMFCU","505-342-8888",,15730,,,,
33,136,"Republican Women of Otero County","RWOOC","575.491.2596","5754912596","GRIGGS1331@MSN.COM",2106,237,1/1/2010 0:00:00,1,1646,,"First National Bank of Alamogordo","575-437-4880","",22343,$0.00,0,,
34,251,"New Mexico Laborers Political Education Fund","","505-265-7933","","info@liuna16.org",1895,116,1/1/2010 0:00:00,1,1525,,"Bank of the West","(800) 488-2265","505-265-7934",52395,$0.00,0,,
35,123,"Democratic Party of NM",,"(505) 830-3650",,,1896,118,1/1/2010 0:00:00,0,1527,2/23/2007 16:02:03,"Bank of America",,,,,,,
36,137,"New Mexico Pharmaceutical Association","","(505) 265-8729","","daletinker@cs.com",2046,238,1/1/2010 0:00:00,1,1647,,"Wells Fargo Bank","505-299-6821","",16363,$0.00,0,,
37,124,"NM FEDERATION OF LABOR, AFL-CIO",,"(505) 262-2629","","maxvel3010@aol.com",2103,239,1/1/2010 0:00:00,1,1648,,"Union Savings Bank","505-341-5200",,81807,,,,
38,252,"Republican Party of Rio Arriba County",,"(505) 852-3901","","gsanchez@valornet.com",2025,240,1/1/2010 0:00:00,2,1649,,"Valley National Bank","(505) 753 2136",,24972,,,,
39,253,"NM ASSOC OF REALTORS PAC","","(505) 982-2442","","Mellanie@nmrealtor.com",2004,173,1/1/2010 0:00:00,1,1582,,"First Community Bank","505-982-6000","",12312,$0.00,0,,
40,129,"National Education Association New Mexico","","(505) 982-1916","","cbowyer@nea.org",1919,125,1/1/2010 0:00:00,1,1534,,"US bank","505-946-9831","505-982-6719",29292,$0.00,0,,
41,254,"PLUMBERS & STEAMFITTERS, LOCAL NO. 412",,,,"johnc@ualocal412.org",1897,119,1/1/2010 0:00:00,0,1528,10/11/2006 14:09:52,"Union Savings Bank","(505) 341-5200",,,,,,
42,125,"Right To Life Committee of New Mexico PAC","","505-881-4563","","info@rtlnm.org",2149,365,1/1/2010 0:00:00,1,1774,,"Compass Bank","505-888-9109","",17252,$6813.14,0,,
43,184,"INDEPENDENT INSURANCE AGENTS OF N.M., INC.","IIANM","(505) 843-7231","","patty@iianm.org",2027,241,1/1/2010 0:00:00,1,1650,,"Wells Fargo Bank, NA","(505) 766-7389","",16274,$23491.85,0,,
44,122,"Democratic Legislative Campaign Committee",,"505-827-3600",,,2190,366,1/1/2010 0:00:00,2,1775,12/6/2006 13:47:12,"First National Bank","505-827-3900",,,,,,
45,126,"New Mexico CPA's Political Education Committee","","(505) 998-3298","","slee@redw.com",1898,120,1/1/2010 0:00:00,1,1529,,"Bank of the West","505-255-8309","",12137,$0.00,0,,
46,127,"Winstream Corporation Southwest Pac (formerly Valor Telepac)",,"(512) 457-9949",,"vestrada@valortelecom.com",1900,121,1/1/2010 0:00:00,2,1530,10/10/2006 16:24:49,"Bank of the West","800-488-2265",,,,,,
47,130,"Central New Mexico Labor Council","","(505) 417-0515","","mswisher11@comcast.net",1899,122,1/1/2010 0:00:00,1,1531,,"Union Savings Bank","505-341-5200","",12904,$0.00,0,,
48,131,"Republican Party of Dona Ana",,"(575) 523-8683","","chairmandarp@gmail.com",2140,242,1/1/2010 0:00:00,1,1651,,"Citizens Bank","575-647-4100",,28701,,,,
49,132,"New Mexico Bankers Assoc. Political Action Committee","","505-822-7900","","dave@rasmussenpc.com",2071,243,1/1/2010 0:00:00,1,1652,,"US Bank","1-888-699-7500","",21406,$0.00,0,,
