ReportLobbyistId,EntityId,FilingPeriodLobbyistId,StatusId,DateAdded,DateClosed,LastDateAmended,PDFFile,MealBeverageExpenses,OtherEntertainmentExpenses,GiftExpenses,OtherExpenses,SpecialEventExpenses,Expenditures,PoliticalContributions
6,3971,2,5,13-May-11,17-Aug-11,17-Jan-12,0_6_2012_1_17_152616.pdf,$15.26,$0.00,$0.00,$0.00,$0.00,$15.26,$0.00
7,3973,2,3,13-May-11,17-Aug-11,,0_7_2011_8_17_143211.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
11,4164,2,3,20-Jun-11,17-Aug-11,,0_11_2011_8_17_151632.pdf,"$1,215.61",$0.00,$457.29,$0.00,"$1,702.12","$3,375.02",$0.00
12,3136,2,3,20-Jun-11,20-Jun-11,,0_12_2011_6_20_10827.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
13,3670,2,3,21-Jun-11,21-Jun-11,,0_13_2011_6_21_135759.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
14,3148,2,3,21-Jun-11,21-Jun-11,,0_14_2011_6_21_164142.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
15,3197,2,5,21-Jun-11,21-Jun-11,17-Jan-12,0_15_2012_1_17_1195.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
16,3158,2,5,21-Jun-11,21-Jun-11,22-Jun-11,0_16_2011_6_22_95859.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
17,3913,2,3,21-Jun-11,16-Aug-11,,0_17_2011_8_16_113534.pdf,$232.28,$0.00,$0.00,$0.00,$0.00,$232.28,$0.00
18,4237,2,3,22-Jun-11,22-Jun-11,,0_18_2011_6_22_93530.pdf,$485.46,$0.00,$0.00,$250.00,$0.00,$735.46,$0.00
19,4234,2,3,22-Jun-11,22-Jun-11,,0_19_2011_6_22_93915.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
20,4145,2,3,22-Jun-11,22-Jun-11,,0_20_2011_6_22_94238.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
21,3203,2,5,22-Jun-11,22-Jun-11,22-Jun-11,0_21_2011_6_22_112740.pdf,$0.00,$0.00,$0.00,$0.00,"$4,136.89","$4,136.89",$200.00
22,3199,2,3,22-Jun-11,24-Jun-11,,0_22_2011_6_24_163454.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
23,3183,2,5,22-Jun-11,22-Jun-11,22-Jun-11,0_23_2011_6_22_102218.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
24,3193,2,3,22-Jun-11,12-Aug-11,,0_24_2011_8_12_16518.pdf,$0.00,$0.00,$0.00,$12.33,$0.00,$12.33,$0.00
25,3140,2,3,22-Jun-11,22-Jun-11,,0_25_2011_6_22_105429.pdf,"$1,431.65",$0.00,$0.00,$0.00,"$2,106.45","$3,538.10",$100.00
26,4694,2,3,22-Jun-11,22-Jun-11,,0_26_2011_6_22_102525.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
27,3297,2,3,22-Jun-11,22-Jun-11,,0_27_2011_6_22_104237.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
28,3364,2,5,22-Jun-11,22-Jun-11,22-Jun-11,0_28_2011_6_22_10466.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
29,3375,2,3,22-Jun-11,22-Jun-11,,0_29_2011_6_22_11156.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
30,4528,2,3,22-Jun-11,22-Jun-11,,0_30_2011_6_22_105720.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
31,3388,2,3,22-Jun-11,15-Aug-11,,0_31_2011_8_15_93156.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
32,3214,2,3,22-Jun-11,12-Aug-11,,0_32_2011_8_12_16853.pdf,$30.00,$0.00,$0.00,$5.99,$0.00,$35.99,$0.00
33,4692,2,3,22-Jun-11,22-Jun-11,,0_33_2011_6_22_111015.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
34,3242,2,3,22-Jun-11,22-Jun-11,,0_34_2011_6_22_112115.pdf,$0.00,$492.21,$0.00,$549.86,$0.00,"$1,042.07",$0.00
35,3266,2,3,22-Jun-11,22-Jun-11,,0_35_2011_6_22_112230.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
36,3268,2,3,22-Jun-11,15-Aug-11,,0_36_2011_8_15_91537.pdf,$0.00,$178.36,$0.00,$0.00,$0.00,$178.36,$0.00
37,3283,2,3,22-Jun-11,22-Jun-11,,0_37_2011_6_22_131810.pdf,$0.00,$0.00,$0.00,$0.00,$275.00,$275.00,$0.00
38,3530,2,5,22-Jun-11,22-Jun-11,22-Jun-11,0_38_2011_6_22_144332.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
39,3522,2,3,22-Jun-11,22-Jun-11,,0_39_2011_6_22_114942.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
40,3923,2,5,22-Jun-11,22-Jun-11,23-Jun-11,0_40_2011_6_23_143057.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
41,4720,2,3,22-Jun-11,22-Jun-11,,0_41_2011_6_22_11575.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
42,3714,2,5,22-Jun-11,22-Jun-11,16-Aug-11,0_42_2011_8_16_94427.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
43,3287,2,3,22-Jun-11,22-Jun-11,,0_43_2011_6_22_132022.pdf,$0.00,$0.00,$0.00,$0.00,$275.00,$275.00,$0.00
44,3300,2,3,22-Jun-11,22-Jun-11,,0_44_2011_6_22_132131.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
45,3373,2,5,22-Jun-11,22-Jun-11,22-Jun-11,0_45_2011_6_22_132813.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
46,3416,2,3,22-Jun-11,22-Jun-11,,0_46_2011_6_22_141454.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
47,3421,2,5,22-Jun-11,22-Jun-11,18-Jan-12,0_47_2012_1_18_143055.pdf,"$1,191.73",$0.00,$0.00,$0.00,$0.00,"$1,191.73",$0.00
48,4520,2,3,22-Jun-11,22-Jun-11,,0_48_2011_6_22_135545.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
49,3851,2,3,22-Jun-11,22-Jun-11,,0_49_2011_6_22_135916.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
50,4136,2,5,22-Jun-11,22-Jun-11,25-Jul-11,0_50_2011_7_25_141446.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
51,4152,2,3,22-Jun-11,22-Jun-11,,0_51_2011_6_22_14153.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
52,3336,2,5,22-Jun-11,22-Jun-11,27-Jun-11,0_52_2011_6_27_162422.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
53,3502,2,5,22-Jun-11,22-Jun-11,22-Jun-11,0_53_2011_6_22_143327.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
54,4332,2,3,22-Jun-11,22-Jun-11,,0_54_2011_6_22_14646.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
55,3877,2,5,22-Jun-11,22-Jun-11,23-Jun-11,0_55_2011_6_23_135436.pdf,$0.00,$0.00,$10.50,$0.00,$0.00,$10.50,$0.00
56,3617,2,3,22-Jun-11,28-Jun-11,,0_56_2011_6_28_9450.pdf,$321.55,$0.00,$0.00,$0.00,$0.00,$321.55,$0.00
57,3978,2,3,22-Jun-11,22-Jun-11,,0_57_2011_6_22_142148.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
58,3634,2,5,22-Jun-11,22-Jun-11,16-Aug-11,0_58_2011_8_16_83526.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
59,3607,2,5,22-Jun-11,22-Jun-11,28-Jun-11,0_59_2011_6_28_8420.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
60,3483,2,3,22-Jun-11,22-Jun-11,,0_60_2011_6_22_142724.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
61,3719,2,3,22-Jun-11,22-Jun-11,,0_61_2011_6_22_142834.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
62,3532,2,3,22-Jun-11,15-Aug-11,,0_62_2011_8_15_9513.pdf,"$1,833.13",$0.00,$0.00,$0.00,$0.00,"$1,833.13",$0.00
63,3505,2,5,22-Jun-11,22-Jun-11,22-Jun-11,0_63_2011_6_22_143456.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
64,3518,2,3,22-Jun-11,22-Jun-11,,0_64_2011_6_22_143618.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
65,3494,2,3,22-Jun-11,22-Jun-11,,0_65_2011_6_22_144313.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
66,3536,2,3,22-Jun-11,22-Jun-11,,0_66_2011_6_22_15058.pdf,$585.85,$0.00,$0.00,$0.00,$0.00,$585.85,$0.00
67,3132,2,5,22-Jun-11,22-Jun-11,25-Jul-11,0_67_2011_7_25_134438.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
68,3718,2,3,22-Jun-11,22-Jun-11,,0_68_2011_6_22_144830.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
69,3417,2,3,22-Jun-11,22-Jun-11,,0_69_2011_6_22_14516.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
70,3612,2,3,22-Jun-11,22-Jun-11,,0_70_2011_6_22_145157.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
71,4515,2,3,22-Jun-11,22-Jun-11,,0_71_2011_6_22_145453.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
72,4703,2,3,22-Jun-11,22-Jun-11,,0_72_2011_6_22_15222.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
73,3941,2,3,22-Jun-11,22-Jun-11,,0_73_2011_6_22_15646.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
74,3850,2,5,22-Jun-11,22-Jun-11,23-Jun-11,0_74_2011_6_23_11349.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
75,3632,2,5,22-Jun-11,22-Jun-11,16-Aug-11,0_75_2011_8_16_83512.pdf,$106.80,$0.00,$0.00,$0.00,$0.00,$106.80,$0.00
76,3636,2,5,22-Jun-11,22-Jun-11,16-Aug-11,0_76_2011_8_16_83541.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
77,3640,2,5,22-Jun-11,22-Jun-11,16-Aug-11,0_77_2011_8_16_83642.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
78,3647,2,5,22-Jun-11,22-Jun-11,30-Apr-12,0_78_2012_4_30_85032.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
79,3653,2,5,22-Jun-11,22-Jun-11,16-Aug-11,0_79_2011_8_16_83726.pdf,"$1,043.84",$0.00,$0.00,$0.00,$0.00,"$1,043.84",$0.00
80,3656,2,5,22-Jun-11,23-Jun-11,16-Aug-11,0_80_2011_8_16_83743.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
81,3657,2,5,22-Jun-11,22-Jun-11,16-Aug-11,0_81_2011_8_16_83944.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
82,3662,2,5,22-Jun-11,22-Jun-11,16-Aug-11,0_82_2011_8_16_84058.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
83,3689,2,5,22-Jun-11,23-Jun-11,16-Aug-11,0_83_2011_8_16_8456.pdf,$0.00,$82.70,$0.00,$0.00,$0.00,$82.70,$0.00
84,3711,2,3,22-Jun-11,22-Jun-11,,0_84_2011_6_22_165130.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
85,3534,2,5,23-Jun-11,23-Jun-11,01-May-14,0_85_2014_5_1_132220.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
86,3422,2,3,23-Jun-11,23-Jun-11,,0_86_2011_6_23_9927.pdf,$714.71,$776.02,$480.92,$0.00,$0.00,"$1,971.65",$0.00
87,3235,2,3,23-Jun-11,23-Jun-11,,0_87_2011_6_23_93538.pdf,$529.00,"$1,009.26",$0.00,$52.00,$0.00,"$1,590.26",$0.00
88,4168,2,3,23-Jun-11,23-Jun-11,,0_88_2011_6_23_95942.pdf,"$1,874.20",$0.00,$0.00,$0.00,$745.00,"$2,619.20",$0.00
89,3896,2,3,23-Jun-11,23-Jun-11,,0_89_2011_6_23_95850.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$300.00
90,3825,2,3,23-Jun-11,27-Jun-11,,0_90_2011_6_27_92358.pdf,$202.42,$0.00,$0.00,$0.00,$0.00,$202.42,$0.00
91,3135,2,3,23-Jun-11,23-Jun-11,,0_91_2011_6_23_101754.pdf,$900.16,$0.00,$0.00,$0.00,$0.00,$900.16,$0.00
92,4248,2,5,23-Jun-11,23-Jun-11,09-Jan-12,0_92_2012_1_9_15618.pdf,"$1,055.29",$0.00,$0.00,$0.00,$0.00,"$1,055.29",$0.00
93,3853,2,3,23-Jun-11,16-Aug-11,,0_93_2011_8_16_11958.pdf,$903.06,$0.00,$0.00,$0.00,$500.00,"$1,403.06",$0.00
94,3686,2,5,23-Jun-11,23-Jun-11,17-Jan-12,0_94_2012_1_17_162758.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
95,3815,2,3,23-Jun-11,23-Jun-11,,0_95_2011_6_23_114213.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
96,3863,2,3,23-Jun-11,23-Jun-11,,0_96_2011_6_23_115226.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
97,3864,2,3,23-Jun-11,23-Jun-11,,0_97_2011_6_23_115447.pdf,$0.00,$0.00,$0.00,$0.00,$400.00,$400.00,$0.00
98,4543,2,3,23-Jun-11,23-Jun-11,,0_98_2011_6_23_115711.pdf,$762.63,$0.00,$0.00,$0.00,$0.00,$762.63,$0.00
99,3882,2,5,23-Jun-11,23-Jun-11,23-Jun-11,0_99_2011_6_23_142458.pdf,$0.00,$250.00,$200.00,"$1,731.16",$0.00,"$2,181.16",$0.00
100,3334,2,3,23-Jun-11,23-Jun-11,,0_100_2011_6_23_141529.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
101,3630,2,3,23-Jun-11,23-Jun-11,,0_101_2011_6_23_142128.pdf,$0.00,$0.00,$0.00,$0.00,$190.00,$190.00,$0.00
102,4733,2,3,23-Jun-11,23-Jun-11,,0_102_2011_6_23_142631.pdf,$0.00,$0.00,$0.00,$0.00,$250.00,$250.00,$0.00
103,3907,2,3,23-Jun-11,23-Jun-11,,0_103_2011_6_23_142916.pdf,$172.00,$0.00,$0.00,$0.00,$0.00,$172.00,$0.00
104,4475,2,3,23-Jun-11,23-Jun-11,,0_104_2011_6_23_143425.pdf,$325.00,$0.00,$0.00,$0.00,$250.00,$575.00,$0.00
105,3915,2,3,23-Jun-11,16-Aug-11,,0_105_2011_8_16_113611.pdf,"$9,187.38",$0.00,$0.00,$0.00,$495.00,"$9,682.38",$0.00
106,3929,2,3,23-Jun-11,23-Jun-11,,0_106_2011_6_23_143140.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
107,3936,2,5,23-Jun-11,23-Jun-11,23-Jun-11,0_107_2011_6_23_143831.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
108,4023,2,3,23-Jun-11,23-Jun-11,,0_108_2011_6_23_144240.pdf,$467.97,$0.00,$0.00,$0.00,$0.00,$467.97,$0.00
109,4056,2,3,23-Jun-11,23-Jun-11,,0_109_2011_6_23_152152.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
110,4066,2,3,23-Jun-11,23-Jun-11,,0_110_2011_6_23_152629.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
111,3980,2,3,23-Jun-11,17-Aug-11,,0_111_2011_8_17_143250.pdf,"$3,376.58",$0.00,$0.00,$0.00,$0.00,"$3,376.58",$0.00
112,4215,2,3,23-Jun-11,23-Jun-11,,0_112_2011_6_23_15387.pdf,$0.00,$0.00,$0.00,$0.00,"$1,250.00","$1,250.00",$0.00
113,4017,2,3,23-Jun-11,23-Jun-11,,0_113_2011_6_23_154237.pdf,$0.00,$250.00,$0.00,$0.00,$0.00,$250.00,$0.00
114,4125,2,5,23-Jun-11,24-Jun-11,30-Apr-13,0_114_2013_4_30_135828.pdf,$730.84,$0.00,$0.00,$0.00,$0.00,$730.84,$200.00
115,3768,2,3,23-Jun-11,23-Jun-11,,0_115_2011_6_23_155318.pdf,$177.00,$0.00,$0.00,$0.00,$0.00,$177.00,$0.00
116,3147,2,3,23-Jun-11,23-Jun-11,,0_116_2011_6_23_161559.pdf,$0.00,$0.00,$0.00,$745.01,$0.00,$745.01,$0.00
117,4146,2,3,24-Jun-11,24-Jun-11,,0_117_2011_6_24_95434.pdf,$0.00,$0.00,$0.00,$0.00,$250.00,$250.00,$0.00
118,3904,2,3,24-Jun-11,24-Jun-11,,0_118_2011_6_24_10237.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
119,4713,2,3,24-Jun-11,24-Jun-11,,0_119_2011_6_24_10423.pdf,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00
120,4413,2,3,24-Jun-11,24-Jun-11,,0_120_2011_6_24_101921.pdf,$0.00,$0.00,$0.00,$0.00,"$1,562.30","$1,562.30",$0.00
121,3211,2,3,24-Jun-11,24-Jun-11,,0_121_2011_6_24_103044.pdf,$866.14,$0.00,$0.00,$0.00,$0.00,$866.14,$0.00
